Id,SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
7086361926,4/12/2016 12:00:00 AM,1,514,525
7086361926,4/13/2016 12:00:00 AM,1,451,465
7086361926,4/14/2016 12:00:00 AM,1,472,476
7086361926,4/15/2016 12:00:00 AM,1,377,386
7086361926,4/19/2016 12:00:00 AM,1,472,483
7086361926,4/20/2016 12:00:00 AM,1,492,502
7086361926,4/21/2016 12:00:00 AM,1,390,411
7086361926,4/22/2016 12:00:00 AM,1,428,448
7086361926,4/24/2016 12:00:00 AM,1,681,704
7086361926,4/25/2016 12:00:00 AM,1,446,447
7086361926,4/26/2016 12:00:00 AM,1,485,500
7086361926,4/27/2016 12:00:00 AM,1,469,479
7086361926,4/28/2016 12:00:00 AM,1,354,367
7086361926,4/30/2016 12:00:00 AM,1,485,489
7086361926,5/1/2016 12:00:00 AM,1,388,407
7086361926,5/2/2016 12:00:00 AM,1,440,459
7086361926,5/3/2016 12:00:00 AM,1,456,461
7086361926,5/4/2016 12:00:00 AM,1,420,436
7086361926,5/6/2016 12:00:00 AM,1,322,333
7086361926,5/7/2016 12:00:00 AM,1,530,548
7086361926,5/8/2016 12:00:00 AM,1,481,510
7086361926,5/9/2016 12:00:00 AM,1,427,438
7086361926,5/11/2016 12:00:00 AM,1,451,463
7086361926,5/12/2016 12:00:00 AM,1,444,457
